"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6","ENSG00000000003",3038.51129391882,1.10900129076745,0.101800314652394,10.8938886343743,1.23262212012196e-27,1.09184691066051e-26
"TNMD","ENSG00000000005",6.77817503787128,1.60650523482929,0.470075911033876,3.41754426704396,0.000631888172722124,0.00102850678381852
"C1orf112","ENSG00000000460",372.08216507417,1.74718492306579,0.0994193004041536,17.5739008015872,3.90383099954209e-69,2.36783891779006e-67
"FGR","ENSG00000000938",1341.65854278321,-2.09572008215754,0.13685278698729,-15.3136821565218,6.19548990652505e-53,1.94143434146152e-51
"GCLC","ENSG00000001084",4274.9593471112,2.2318958397089,0.214388383747573,10.4105259841727,2.219916971705e-25,1.73076141066307e-24
"CFTR","ENSG00000001626",1073.44774239514,-1.22711227832355,0.247658525561064,-4.95485578598014,7.23839550974792e-07,1.56251189354469e-06
"HS3ST1","ENSG00000002587",1102.51205142406,1.52303673881575,0.164702379781808,9.24720541884958,2.30438614734989e-20,1.33179526274327e-19
"AOC1","ENSG00000002726",1816.55290265558,4.97902629073856,0.298474552522759,16.6815772019924,1.78444715463565e-62,8.08331973111284e-61
"WNT16","ENSG00000002745",35.032010226507,1.90089915313634,0.289135440973099,6.57442459056134,4.88416751904154e-11,1.50004135630296e-10
"HECW1","ENSG00000002746",81.4296272314185,2.39411729124792,0.190192988568128,12.5878314930118,2.46348289224341e-36,3.46533800243014e-35
"CYP26B1","ENSG00000003137",294.94988333562,-1.09063257212461,0.172882045157802,-6.3085358061857,2.81687568693237e-10,8.13860110871642e-10
"ICA1","ENSG00000003147",2002.91877549155,1.16661992503696,0.0973283332768201,11.9864368962209,4.18523647471766e-33,4.96594404788614e-32
"DBNDD1","ENSG00000003249",1422.24319294387,1.97605881564535,0.124068134584923,15.9272066292957,4.10280449355128e-57,1.53259876415685e-55
"MTMR7","ENSG00000003987",219.675862074727,1.31070385045314,0.239485457312628,5.47299976024068,4.42480711562473e-08,1.06544305907514e-07
"SLC7A2","ENSG00000003989",5538.70781140366,1.03357370927173,0.259582084180913,3.98168353002126,6.8428852742342e-05,0.000123864184331687
"FKBP4","ENSG00000004478",4022.24870746916,1.12551320959619,0.116859599330379,9.63132867171832,5.89620817145209e-22,3.7841051941102e-21
"HSPB6","ENSG00000004776",125.15919972957,-2.51134736877369,0.202435970120673,-12.4056380260715,2.4356484397344e-35,3.25717918775543e-34
"ARHGAP33","ENSG00000004777",410.988209195927,1.29502877221949,0.159351571245405,8.12686540897119,4.40534059027135e-16,1.92396287971016e-15
"PDK4","ENSG00000004799",3222.24383252177,-2.38195010619916,0.190603743402322,-12.4968694931212,7.76492235101759e-36,1.06302796960029e-34
"ZMYND10","ENSG00000004838",448.639852725081,-1.96739944143212,0.249784835321025,-7.87637663793164,3.37011337926411e-15,1.38369524312007e-14
"ARX","ENSG00000004848",176.470355889211,1.63236366655489,0.313270453068223,5.21071697176433,1.88112240115791e-07,4.27523474201936e-07
"SLC25A13","ENSG00000004864",1663.59787325185,1.06586434099542,0.0863964774320775,12.3368958165381,5.73236113276451e-35,7.48679837580697e-34
"SLC4A1","ENSG00000004939",9.2869577136293,-3.39410705519033,0.226535245415411,-14.9826886715414,9.52830520019137e-51,2.74099622101325e-49
"CALCR","ENSG00000004948",44.6652678759879,1.59921843967679,0.272386336654546,5.87114045189793,4.32807395788174e-09,1.13087364673449e-08
"PRSS22","ENSG00000005001",1288.73711614788,1.65699347041833,0.162416507302668,10.2021247589721,1.93981558650637e-24,1.44541200561428e-23
"HOXA11","ENSG00000005073",22.147458327773,4.06815608461396,0.475325669183084,8.55867113510969,1.14175898961514e-17,5.54847734958819e-17
"MEOX1","ENSG00000005102",66.0685219529915,-1.17197897096911,0.213434342704117,-5.49105151551839,3.99547782544262e-08,9.66095739603309e-08
"REXO5","ENSG00000005189",215.761445289697,1.03489657831402,0.104317817132254,9.92061190277765,3.38673474699912e-23,2.35518246514012e-22
"PON1","ENSG00000005421",87.8948999363153,1.70966646723043,0.245261284720774,6.97079634552537,3.15151910998895e-12,1.0554020481945e-11
