"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000147689",6219.67804710491,6.78640608774972,0.235775588542183,28.783327950576,3.46846411966057e-182,6.20612284930866e-178
"ENSG00000183010",3607.63722206785,3.69610076544586,0.131865293262954,28.0293675006313,7.12911340138143e-173,6.37806130454589e-169
"ENSG00000165312",1099.02618908628,-2.11172387895119,0.081371658870187,-25.9515893896184,1.74472035632202e-148,1.04060937785567e-144
"ENSG00000116016",26930.0789178205,-2.71632671710257,0.110715057929642,-24.5343927727406,6.34762845282139e-133,2.83945289765833e-129
"ENSG00000261371",11784.5258714728,-2.31277119216199,0.0948602020993303,-24.3808377062094,2.73125015724331e-131,9.77405181271091e-128
"ENSG00000135604",803.370434992623,-3.0570869268141,0.125449211240288,-24.3691203522874,3.63587137838439e-131,1.08427744289053e-127
"ENSG00000175832",1976.53923834742,3.85760330883898,0.15924548109927,24.2242560492767,1.23533687947479e-129,3.15769754063464e-126
"ENSG00000162062",266.963863947202,3.51911378613901,0.145812415815681,24.1345276837567,1.08549302938518e-128,2.42784084684862e-125
"ENSG00000235387",65.1148009157817,-2.70577497891451,0.112460913739315,-24.0596922872822,6.609090440708e-128,1.31396061395098e-124
"ENSG00000131747",5246.33055028419,3.85206229789166,0.160189308681746,24.0469375240559,8.98690780924354e-128,1.60802741430795e-124
"ENSG00000183856",1342.82350196705,3.61331474347724,0.150434366900845,24.0192106226555,1.75189165462241e-127,2.84969067055989e-124
"ENSG00000179913",2079.86290350245,4.34421463859279,0.182665479655008,23.7823514700068,5.0861466150087e-125,7.58386844852923e-122
"ENSG00000170989",1751.34176810987,-2.84570084542512,0.120124521665863,-23.689591483583,4.61622853881699e-124,6.35370594192711e-121
"ENSG00000139567",2201.68796774784,-2.55991430151739,0.108793481763335,-23.5300337853524,2.01027054672201e-122,2.56926934946406e-119
"ENSG00000102760",3338.60169481376,-2.86718969043996,0.122436291961702,-23.4178089233281,2.81455860659554e-121,3.3573931431876e-118
"ENSG00000213853",14426.8738055422,-2.72508508854085,0.117448223097097,-23.2024377779472,4.30238265538931e-119,4.81140830330506e-116
"ENSG00000010319",705.294871964909,-3.22059469116848,0.138903466093397,-23.1858482854776,6.32595269226804e-119,6.65825126604424e-116
"ENSG00000186193",445.404393531468,3.80455882158968,0.164659528753932,23.1056098021222,4.06619467796131e-118,4.04202340959787e-115
"ENSG00000120156",940.452537960331,-3.24419019297143,0.141517909928013,-22.9242376079584,2.66353933038263e-116,2.50835311781771e-113
"ENSG00000090889",835.523405834043,3.81464242454752,0.166583246246884,22.8993161706912,4.71964616653849e-116,4.22243144289366e-113
"ENSG00000182010",2072.09371208104,-4.05229344026554,0.176999568779785,-22.8943689987585,5.28685576626852e-116,4.50465286789727e-113
"ENSG00000070778",1154.45614487098,-2.43916564513984,0.107541211270074,-22.6812178915693,6.86622892943705e-114,5.58442882883714e-111
"ENSG00000077152",825.365575023928,3.31626148665296,0.146265366757785,22.672909931882,8.29273738726533e-114,6.45138913349298e-111
"ENSG00000122679",1092.07805172365,-3.22047356235234,0.142084017057813,-22.6659805165979,9.7062558655874e-114,7.23641817512313e-111
"ENSG00000157654",6093.57795503931,-2.50516159561097,0.111209052936426,-22.5265976956308,2.27795800577133e-112,1.63038010389065e-109
"ENSG00000254726",1301.18420650624,4.169121896061,0.185173647116127,22.5146610275837,2.98210274221371e-112,2.05226016793961e-109
"ENSG00000132622",424.290455487253,-2.78822365089097,0.124273569402014,-22.4361758039742,1.74631905693126e-111,1.15729210687671e-108
"ENSG00000143320",7869.66516784994,5.56896969266704,0.24902922671019,22.3627152773838,9.08161344245677e-111,5.80347533306711e-108
"ENSG00000168309",1690.00152074688,-4.54221434661921,0.20339954319276,-22.3314874523321,1.82742889944514e-110,1.12752363095765e-107
"ENSG00000128165",742.857319631797,3.46313344263864,0.155366029813248,22.2901585810063,4.60358885211764e-110,2.74573384436469e-107
"ENSG00000117650",674.694905628265,3.73222667692374,0.167797892852053,22.2423929972376,1.33635984602306e-109,7.71338281448086e-107
